HEADERNFFORN20230426153248.DAT                                                                                                     
98553852R97001AC030200000557600190350667103022023C018494807000050000000749365000112405000052456000052456000000000        00010     
98553852J50001DD508500000607100190350667104042023C018574944000010000000146576000021987000010261000010261000000000        00010     
98553852V65001TDMON100000566300190350667116032023C018551044000010000000112405000016861000007869000007869000000000        00040     
98553852M11001TDMON100000577100190350667116032023C018550840000010000000112405000016861000007869000007869000000000        00040     
98553852S87001TDMON100000579900190350667116032023C018550982000010000000112405000016861000007869000007869000000000        00040     
98553852T04001TDMON100000567300190350667116032023C018550987000010000000109932000016490000007696000007696000000000        00040     
98553852P28001DD706300000608300190350667108042023C018579808000020000000293152000043973000020521000020521000000000        00010     
98553852T42001DD162200000614500190350667113042023C018585852000030000000449619000067443000031474000031474000000000        00010     
98553852T68001AC240400000615900190350667124042023C018597617000050000000749365000112405000052456000052456000000000        00010     
98553852J37001AC130400000614300190350667113042023C018585959000150000001953600000293040000136752000136752000000000        00010     
98553852T68001AC130400000614400190350667114042023C018587473000020000000299746000044962000020983000020983000000000        00030     
98553852M11001DD345700000606000190350667131032023C018570763000010000000149873000022481000010492000010492000000000        00010     
98553852L57001DD700500000615800190350667120042023C018595842000050000000732880000109932000051302000051302000000000        00010     
98553852M39001AV030400000606900190350667103042023C018573056000100000001498730000224810000104912000104912000000000        00100     
98553852B40001DD886900000607600190350667103042023C018573096000050000000636870000095531000044581000044581000000000        00040     
98553852E01001AC000200000607700190350667101042023C018571606000150000001953600000293040000136752000136752000000000        00020     
98553852L92001DD013700000607200190350667104042023C018574294000020000000293152000043973000020521000020521000000000        00130     
98553852B05001NN217300000607300190350667104042023C018574382000020000000299746000044962000020983000020983000000000        00010     
98553852E68001DD459400000616100190350667120042023C018595608000040000000586304000087946000041042000041042000000000        00010     
98553852V80001AC070400000608400190350667106042023C018578530000020000000293152000043973000020521000020521000000000        00010     
98553852J57001DD440200000607400190350667104042023C018575085000020000000293152000043973000020521000020521000000000        00010     
98553852J72001DD321400000607500190350667104042023C018575096000010000000146576000021987000010261000010261000000000        00010     
98553852C14001DD635800000607000190350667104042023C018575108000010000000146576000021987000010261000010261000000000        00010     
98553852B23001DD104200000610100190350667112042023C018583471000010000000146576000021987000010261000010261000000000        00030     
98553852X11001DD031000000610200190350667112042023C018584571000030000000439728000065960000030781000030781000000000        00160     
98553852I56001DD518200000610500190350667112042023C018584580000040000000586304000087946000041042000041042000000000        00250     
98553852X21001DD048900000610600190350667112042023C018584582000020000000293152000043973000020521000020521000000000        00130     
98553852L56001DD160800000613500190350667112042023C018584596000020000000293152000043973000020521000020521000000000        00190     
98553852R56001DD663400000613600190350667112042023C018584610000060000000879456000131919000061562000061562000000000        00210     
98553852H56001DD361000000613700190350667112042023C018584615000030000000439728000065960000030781000030781000000000        00160     
98553852V46001AC170400000614600190350667117042023C018589271000010000000149873000022481000010492000010492000000000        00010     
98553852L21001DD036600000616000190350667124042023C018598154000020000000293152000043973000020521000020521000000000        00010     
98553852N20001DD040700000608500190350667110042023C018580924000020000000299746000044962000020983000020983000000000        00010     
98553852X18001DD382400000614700190350667118042023C018591624000030000000439728000065960000030781000030781000000000        00030     
98553852I68001ACE26600000615700190350667119042023C018592699000100000001465760000219864000102604000102604000000000        00010     
TRAILLER00037                                                                                                                      
